INFO  - 2015-07-01 09:47:29.594; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-07-01 09:47:29.594; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.594; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-07-01 09:47:29.594; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.594; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-07-01 09:47:29.594; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-07-01 09:47:29.595; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2015-07-01 09:47:29.595; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-07-01 09:47:29.595; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.595; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.595; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.595; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.596; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-07-01 09:47:29.596; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.596; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2015-07-01 09:47:29.596; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2015-07-01 09:47:29.596; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2015-07-01 09:47:29.596; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-07-01 09:47:29.597; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2015-07-01 09:47:29.598; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/dist/solr-cell-4.10.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-07-01 09:47:29.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-07-01 09:47:29.599; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-07-01 09:47:29.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-07-01 09:47:29.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-07-01 09:47:29.600; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/dist/solr-clustering-4.10.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-07-01 09:47:29.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-07-01 09:47:29.602; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/dist/solr-langid-4.10.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.602; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2015-07-01 09:47:29.602; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-07-01 09:47:29.602; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-07-01 09:47:29.603; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.603; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/10843/Develop/github/projects-solr/email-solr-core/dist/solr-velocity-4.10.0.jar' to classloader
INFO  - 2015-07-01 09:47:29.741; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-07-01 09:47:29.746; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.0
INFO  - 2015-07-01 09:47:29.832; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-07-01 09:47:29.836; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2015-07-01 09:47:29.886; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-07-01 09:47:30.351; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-07-01 09:47:30.361; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2015-07-01 09:47:30.361; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-07-01 09:47:30.414; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-07-01 09:47:30.420; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-07-01 09:47:30.502; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/
INFO  - 2015-07-01 09:47:30.515; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-07-01 09:47:30.519; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/, dataDir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/
INFO  - 2015-07-01 09:47:30.520; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-07-01 09:47:30.525; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-07-01 09:47:30.525; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-07-01 09:47:30.534; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data
INFO  - 2015-07-01 09:47:30.535; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index/
WARN  - 2015-07-01 09:47:30.536; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-07-01 09:47:30.542; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index
INFO  - 2015-07-01 09:47:30.613; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
